Modelo,Melhores Parâmetros,Accuracy Média,Accuracy Desvio,Precision Média,Precision Desvio,Recall Média,Recall Desvio,F1 Média,F1 Desvio
Árvore,{'max_depth': 5},0.9552180685358256,0.010084610775377919,0.8098018648018648,0.05405268341909098,0.7795454545454545,0.09312020628789486,0.790863291298074,0.05203133224467576
KNN,{'n_neighbors': 3},0.9300276912426446,0.019745155810266674,0.8297619047619047,0.11212870196782207,0.44772727272727264,0.1633432419550265,0.5692450824029771,0.15666772419047612
Naive Bayes,{'var_smoothing': 1e-07},0.2947040498442367,0.0570286251051512,0.13062894026894584,0.013489806094942328,0.9492424242424242,0.0557783640430302,0.2294855210209291,0.021708634971759712
Logística,{'C': 10},0.9374956732433368,0.015047464413041346,0.8215384615384614,0.14226839798624213,0.5916666666666666,0.1037325665483993,0.6741677708256656,0.07148541940818236
SVM,{'C': 10},0.9449723087573554,0.012096265246996387,0.8566045066045065,0.11803242025595088,0.6174242424242424,0.08224146959093996,0.710723791576127,0.06426378597818745
MLP,"{'hidden_layer_sizes': (100,)}",0.939373485635168,0.008535031743169918,0.8202597402597401,0.09735531319823863,0.6090909090909091,0.1276329678100163,0.6818064925158748,0.07090380658551182
